,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
71,Mauganj,24.6833,81.8833,62.13,31,0,9.06,IN,1612465437
72,East London,-33.0153,27.9116,71.6,78,75,3.44,ZA,1612465437
73,Aitape,-3.1374,142.3475,78.22,83,59,4.68,PG,1612465437
74,Bengkulu,-3.8004,102.2655,75.61,85,100,4.43,ID,1612465437
75,Carnarvon,-24.8667,113.6333,78.75,85,100,20.49,AU,1612465438
76,Kapaa,22.0752,-159.319,62.6,77,40,4.61,US,1612465438
77,Berlevåg,70.8578,29.0864,28.4,80,75,23.02,NO,1612465438
78,Esperance,-33.8667,121.9,55.4,76,90,2.3,AU,1612465153
79,Port Elizabeth,-33.918,25.5701,69.8,83,20,3.44,ZA,1612465438
80,Aripuanã,-9.1667,-60.6333,89.46,62,91,2.3,BR,1612465438
81,Barcelos,41.5388,-8.6151,52.0,93,40,4.61,PT,1612465403
82,Dudinka,69.4058,86.1778,-29.81,85,86,5.61,RU,1612465438
83,Clyde River,70.4692,-68.5914,-20.2,76,75,8.05,CA,1612465439
84,Atuona,-9.8,-139.0333,78.39,70,80,11.07,PF,1612465439
85,Rocha,-34.4833,-54.3333,70.79,60,100,19.48,UY,1612465439
86,Fort Nelson,58.8053,-122.7002,-16.6,69,75,3.44,CA,1612465223
87,Matara,5.9485,80.5353,74.03,83,95,6.89,LK,1612465439
88,Vadsø,70.0744,29.7487,24.8,86,75,8.05,NO,1612465439
89,Khatanga,71.9667,102.5,-30.57,78,0,8.28,RU,1612465439
90,Kang,-23.6752,22.7876,70.34,83,100,6.02,BW,1612465440
91,Solnechnyy,50.7214,136.6319,-21.32,81,15,3.11,RU,1612465440
92,Yangi Marg`Ilon,40.4272,71.7189,33.8,75,8,9.22,UZ,1612465440
93,Kaeo,-35.1,173.7833,62.01,91,47,4.0,NZ,1612465440
94,Ubari,26.5921,12.7805,58.12,34,8,7.99,LY,1612465440
95,Charters Towers,-20.1,146.2667,73.72,87,100,10.89,AU,1612465441
96,Abashiri,44.0213,144.2697,9.19,93,100,8.63,JP,1612465441
97,Upernavik,72.7868,-56.1549,-9.67,71,81,4.52,GL,1612465441
98,Bilma,18.6853,12.9164,67.35,25,0,7.16,NE,1612465441
99,Mocoa,1.1493,-76.6466,82.24,64,71,3.27,CO,1612465441
100,Salalah,17.0151,54.0924,73.4,68,40,2.3,OM,1612465441
101,La Rochelle,46.1667,-1.15,51.8,93,0,4.61,FR,1612465209
102,El Salvador,13.8333,-88.9167,87.8,42,0,9.22,SV,1612465442
103,Volchansk,59.9378,60.081,9.52,97,100,2.28,RU,1612465442
104,Bethanien,-26.502,17.1583,85.62,17,0,21.09,NA,1612465442
105,Amapá,1.0,-52.0,76.77,95,100,4.99,BR,1612465442
106,Butaritari,3.0707,172.7902,80.37,83,100,13.58,KI,1612465443
107,Hithadhoo,-0.6,73.0833,82.36,75,53,10.4,MV,1612465443
108,Kwang Binh,17.4833,106.6,68.32,90,39,6.89,VN,1612465443
109,Linhares,-19.3911,-40.0722,87.08,55,58,6.89,BR,1612465222
110,Lebu,-37.6167,-73.65,71.53,51,2,5.14,CL,1612465443
111,Mahébourg,-20.4081,57.7,80.6,74,40,11.5,MU,1612465443
112,Santoña,43.4439,-3.4576,51.01,93,90,6.2,ES,1612465444
113,Arraial Do Cabo,-22.9661,-42.0278,89.6,54,20,16.11,BR,1612465444
114,Souillac,-20.5167,57.5167,80.6,74,40,11.5,MU,1612465444
115,Priargunsk,50.3691,119.1012,-10.95,90,99,0.4,RU,1612465444
116,Cabo San Lucas,22.8909,-109.9124,82.0,31,20,3.44,MX,1612465445
117,Nikolskoye,59.7035,30.7861,10.99,85,0,13.42,RU,1612465445
118,Narsaq,60.9167,-46.05,19.4,38,20,5.41,GL,1612465445
119,Longyearbyen,78.2186,15.6401,17.6,67,75,13.8,SJ,1612465445
120,Touros,-5.1989,-35.4608,86.0,54,20,18.41,BR,1612465445
121,San Patricio,28.017,-97.5169,82.4,54,20,16.11,US,1612465445
122,Jamestown,42.097,-79.2353,34.0,51,1,6.91,US,1612465446
123,Korla,41.7597,86.1469,27.3,83,29,3.74,CN,1612465446
124,Cidreira,-30.1811,-50.2056,77.18,63,28,23.33,BR,1612465446
125,Marsh Harbour,26.5412,-77.0636,65.17,49,0,4.0,BS,1612465446
126,Iquique,-20.2208,-70.1431,75.2,57,0,11.5,CL,1612465438
127,Gwadar,25.1216,62.3254,68.14,46,0,11.59,PK,1612465377
128,Muyezerskiy,63.9333,31.65,2.14,92,100,11.95,RU,1612465447
129,Kalmar,56.6616,16.3616,21.0,86,0,6.91,SE,1612465447
130,Keetmanshoop,-26.5833,18.1333,89.35,14,0,22.57,NA,1612465447
131,Akdepe,42.0551,59.3788,46.4,70,100,9.22,TM,1612465447
132,Beringovskiy,63.05,179.3167,-0.15,93,100,16.53,RU,1612465447
133,Atar,20.5169,-13.0499,89.6,7,100,11.5,MR,1612465448
134,Airai,-8.9266,125.4092,60.89,100,100,3.89,TL,1612465448
135,Bathsheba,13.2167,-59.5167,84.2,58,20,21.85,BB,1612465448
136,Saint-Philippe,-21.3585,55.7679,80.6,69,0,2.3,RE,1612465448
137,Lorengau,-2.0226,147.2712,81.82,78,96,7.78,PG,1612465448
138,Jiwani,25.05,61.7417,67.5,62,0,10.31,PK,1612465448
139,Rome,34.257,-85.1647,46.99,49,90,3.44,US,1612465214
140,Karabulak,43.3036,44.8964,41.0,70,75,8.95,RU,1612465449
141,Norman Wells,65.282,-126.8329,-50.8,65,40,3.44,CA,1612465449
142,Tiarei,-17.5333,-149.3333,82.4,69,20,5.75,PF,1612465449
143,Vardø,70.3705,31.1107,28.4,64,75,17.27,NO,1612465449
144,Sandy Bay,-42.913,147.3532,64.99,82,51,5.75,AU,1612465449
145,North Platte,41.1239,-100.7654,39.2,48,1,16.11,US,1612465450
146,Carballo,43.213,-8.691,48.99,95,100,1.99,ES,1612465450
147,Bodden Town,19.2833,-81.25,78.8,57,20,14.97,KY,1612465450
148,Broome,42.2506,-75.833,36.0,60,1,8.05,US,1612465450
149,Port-Gentil,-0.7193,8.7815,84.2,84,40,6.91,GA,1612465450
150,Kaitangata,-46.2817,169.8464,51.01,76,45,1.99,NZ,1612465450
151,Huilong,31.8111,121.655,46.99,81,100,1.99,CN,1612465451
152,Arrondissement De Niort,46.3333,-0.3333,52.0,85,100,6.69,FR,1612465451
153,Pevek,69.7008,170.3133,-13.25,80,0,9.1,RU,1612465451
154,Barrow,71.2906,-156.7887,-23.8,76,1,3.44,US,1612465305
155,Lavrentiya,65.5833,-171.0,-13.4,85,98,16.73,RU,1612465451
156,Muscat,23.6139,58.5922,69.8,68,0,4.61,OM,1612465323
157,Ust-Nera,64.5667,143.2,-17.7,79,100,8.23,RU,1612465452
158,Kazanskaya,45.4106,40.4361,48.88,64,100,7.4,RU,1612465452
159,Hobart,-42.8794,147.3294,64.99,82,54,5.75,AU,1612465219
160,Coyhaique,-45.5752,-72.0662,87.8,22,0,6.91,CL,1612465452
161,Sabang,5.8933,95.3214,81.5,74,50,18.12,ID,1612465452
162,Constitución,-35.3333,-72.4167,71.26,59,12,6.46,CL,1612465256
163,Trenggalek,-8.05,111.7167,75.4,88,100,2.48,ID,1612465433
164,Qaqortoq,60.7167,-46.0333,19.4,38,20,4.59,GL,1612465453
165,Fairview,40.8126,-73.999,42.8,48,1,8.05,US,1612465444
166,Hilo,19.7297,-155.09,72.0,78,90,3.44,US,1612465427
167,Nānākuli,21.3906,-158.1547,68.0,73,20,12.55,US,1612465454
168,Caucayá,-0.1934,-74.7819,76.24,94,100,2.93,CO,1612465216
169,Thunder Bay,48.4001,-89.3168,33.01,93,90,4.61,CA,1612465182
170,Bandarbeyla,9.4942,50.8122,73.8,69,0,13.22,SO,1612465454
171,Kahului,20.8947,-156.47,69.8,73,40,6.91,US,1612465454
172,Haines Junction,60.7522,-137.5108,-25.6,68,99,1.16,CA,1612465454
173,Igarapava,-20.0383,-47.7469,83.8,71,95,4.18,BR,1612465454
174,Kautokeino,69.0125,23.0412,14.56,94,46,9.28,NO,1612465455
175,Saldanha,-33.0117,17.9442,68.0,68,0,10.36,ZA,1612465455
176,Ribeira Grande,38.5167,-28.7,57.2,58,40,4.61,PT,1612465455
177,Jalu,29.0331,21.5482,59.65,56,0,6.46,LY,1612465455
178,Mount Gambier,-37.8333,140.7667,53.6,94,90,10.36,AU,1612465303
179,Kalabagh,32.965,71.557,54.99,56,0,2.86,PK,1612465455
180,Half Moon Bay,37.4636,-122.4286,55.4,41,1,4.61,US,1612465456
181,Fukuechō,32.6881,128.8419,48.78,52,39,8.01,JP,1612465456
182,Paine,-33.8167,-70.75,89.6,35,0,6.17,CL,1612465456
183,San Ramon,37.7799,-121.978,55.99,30,1,10.36,US,1612465456
184,Tiksi,71.6872,128.8694,-24.41,87,100,3.96,RU,1612465456
185,Karpathos,35.507,27.2132,59.0,88,20,13.8,GR,1612465456
186,Suntar,62.1444,117.6319,-25.65,85,90,3.22,RU,1612465457
187,Edd,13.9297,41.6925,79.79,30,0,23.47,ER,1612465457
188,Avera,33.194,-82.5271,53.6,30,1,4.61,US,1612465457
189,Yatou,37.15,122.3833,35.62,85,100,12.93,CN,1612465457
190,San Diego,32.7153,-117.1573,62.01,63,75,8.05,US,1612465274
191,Broken Hill,-31.95,141.4333,68.0,64,83,16.11,AU,1612465458
192,Bairiki Village,1.3292,172.9752,78.8,83,75,12.66,KI,1612465458
193,Tarakan,3.3,117.6333,77.0,94,90,4.61,ID,1612465458
194,Vallenar,-28.5708,-70.7581,89.55,21,53,11.5,CL,1612465458
195,Trzebnica,51.3108,17.0633,33.01,93,90,4.61,PL,1612465458
196,Portland,45.5234,-122.6762,44.01,81,90,6.91,US,1612465148
197,Sakaiminato,35.55,133.2333,32.0,86,20,6.91,JP,1612465287
198,Pilar,-9.5972,-35.9567,86.0,66,40,16.11,BR,1612465459
199,Zhigalovo,54.8097,105.1578,5.72,92,100,3.0,RU,1612465459
200,Hirara,24.8,125.2833,66.85,66,91,15.59,JP,1612465459
201,Dunedin,-45.8742,170.5036,52.0,70,23,15.99,NZ,1612465459
202,Santa Rosa,14.3122,121.1114,79.0,73,40,2.3,PH,1612465459
203,Vestmannaeyjar,63.4427,-20.2734,37.4,87,75,26.46,IS,1612465460
204,Maïné Soroa,13.2114,12.0241,72.57,20,0,8.88,NE,1612465460
205,Sept-Îles,50.2001,-66.3821,34.0,80,100,4.61,CA,1612465460
206,Balaipungut,1.05,101.2833,75.2,94,20,2.17,ID,1612465460
207,Cap Malheureux,-19.9842,57.6142,80.01,76,0,5.99,MU,1612465460
208,Olinda,-8.0089,-34.8553,82.4,61,20,10.36,BR,1612465460
209,Planadas,3.197,-75.6451,79.45,59,86,3.76,CO,1612465461
210,Palmer,42.1584,-72.3287,37.0,60,75,5.75,US,1612465461
211,Homa Bay,-0.5273,34.4571,71.56,70,39,6.4,KE,1612465461
212,Provideniya,64.3833,-173.3,-11.22,87,100,28.27,RU,1612465461
213,Katsuura,35.1333,140.3,39.2,48,20,12.66,JP,1612465461
214,Prince Rupert,54.3161,-130.3201,41.0,93,90,5.75,CA,1612465461
215,Buala,-8.145,159.5921,78.67,82,97,8.41,SB,1612465461
216,Yorkton,51.2167,-102.4677,-2.2,78,1,20.71,CA,1612465234
217,Sitka,57.0531,-135.33,35.6,100,90,0.83,US,1612465462
218,Severomuysk,56.1481,113.4267,-14.73,90,97,3.76,RU,1612465462
219,Ngama,11.7833,17.1667,79.48,17,2,12.12,TD,1612465462
220,Lewistown,40.5992,-77.5714,41.0,48,1,3.89,US,1612465463
221,Bojnourd,37.4747,57.329,35.6,41,0,6.51,IR,1612465463
222,Kiunga,-6.1219,141.2906,73.83,98,100,2.19,PG,1612465463
223,Baruun-Urt,46.6806,113.2792,8.96,91,33,4.76,MN,1612465463
224,Chimoré,-16.9833,-65.1333,75.96,87,100,1.88,BO,1612465463
225,Vanimo,-2.6741,141.3028,78.21,82,93,5.19,PG,1612465271
226,Mumford,5.2618,-0.759,81.73,79,0,13.67,GH,1612465463
227,Zalesovo,53.9939,84.7431,5.77,94,100,3.15,RU,1612465464
228,Evensk,61.95,159.2333,1.99,86,100,28.25,RU,1612465464
229,Leningradskiy,69.3833,178.4167,-26.16,85,100,8.01,RU,1612465464
230,Krasnosel'Kup,65.7,82.4667,-15.61,88,88,7.16,RU,1612465465
231,Caravelas,-17.7125,-39.2481,83.7,62,0,9.53,BR,1612465465
232,Umm Kaddadah,13.6017,26.6876,71.02,22,12,15.9,SD,1612465465
233,Dikson,73.5069,80.5464,-9.06,91,100,11.3,RU,1612465465
234,Port Moresby,-9.4431,147.1797,77.0,88,20,5.75,PG,1612465465
235,Onega,63.9061,38.1404,8.73,93,100,11.21,RU,1612465465
236,Abonnema,4.7084,6.7931,87.8,70,20,8.05,NG,1612465328
237,São Filipe,14.8961,-24.4956,73.08,77,48,8.41,CV,1612465466
238,Puerto Colombia,10.9878,-74.9547,87.8,62,20,11.5,CO,1612465466
239,Banská Štiavnica,48.4486,18.91,42.01,80,5,4.0,SK,1612465466
240,Vanavara,60.34,102.2797,-10.84,90,100,2.66,RU,1612465467
241,Najrān,17.4924,44.1277,69.8,23,0,6.91,SA,1612465467
242,Severo-Kuril'Sk,50.6789,156.125,7.79,88,80,9.62,RU,1612465467
243,Nabire,-3.3667,135.4833,75.72,89,100,3.36,ID,1612465467
244,Ugoofaaru,5.6667,73.0,81.59,75,100,9.69,MV,1612465467
245,Tsaitien,30.5833,114.0333,46.4,100,90,2.24,CN,1612465467
246,Port Macquarie,-31.4333,152.9167,64.0,100,27,6.6,AU,1612465467
247,Conde,-7.2597,-34.9075,86.0,62,20,13.8,BR,1612465468
248,Brae,60.3964,-1.353,33.8,60,40,13.8,GB,1612465468
249,Celestún,20.8667,-90.4,76.71,47,0,5.17,MX,1612465468
250,Bismarck,46.8083,-100.7837,12.2,57,40,19.57,US,1612465221
251,Sysert',56.4953,60.8192,23.0,100,40,4.47,RU,1612465468
252,Sur,22.5667,59.5289,65.89,71,0,3.0,OM,1612465468
253,Nhulunbuy,-12.2333,136.7667,77.0,94,75,8.05,AU,1612465468
254,Nanortalik,60.1432,-45.2371,21.88,81,100,3.31,GL,1612465469
255,Acaraú,-2.8856,-40.12,84.99,62,35,17.81,BR,1612465212
256,Iqaluit,63.7506,-68.5145,10.4,85,90,26.46,CA,1612465469
257,Verkhnevilyuysk,63.4453,120.3167,-39.69,81,45,4.74,RU,1612465469
258,Kano,12.0001,8.5167,73.4,28,0,5.75,NG,1612465203
259,Chukhloma,58.7525,42.6825,7.99,96,90,5.1,RU,1612465469
260,Quatre Cocos,-20.2078,57.7625,80.6,74,40,11.5,MU,1612465469
261,Mossamedes,-15.1961,12.1522,73.45,72,0,12.44,AO,1612465470
262,Galle,6.0367,80.217,77.22,81,93,7.05,LK,1612465376
263,Tuy Hoa,13.0833,109.3,71.42,88,96,8.59,VN,1612465470
264,Pyshchug,58.8873,45.7134,14.11,97,100,5.32,RU,1612465470
265,Shiraz,29.6036,52.5388,46.4,42,0,2.01,IR,1612465357
266,Turba,59.0831,24.225,18.0,86,90,6.91,EE,1612465470
267,Faanui,-16.4833,-151.75,81.03,67,53,5.28,PF,1612465470
268,Fes,34.0372,-4.9998,59.0,88,50,10.36,MA,1612465471
269,Chifeng,42.2683,118.9636,22.28,88,0,12.06,CN,1612465396
270,Panzhihua,26.5851,101.7128,44.01,52,0,1.03,CN,1612465471
271,Codrington,-38.2667,141.9667,67.69,67,100,16.82,AU,1612465471
272,Saint-François,46.4154,3.9054,48.2,87,0,4.61,FR,1612465471
273,Wattegama,6.7989,81.4808,75.2,88,0,6.91,LK,1612465471
274,Jucuarán,13.2539,-88.2478,89.6,35,0,4.61,SV,1612465471
275,Bilibino,68.0546,166.4372,-20.87,73,59,10.36,RU,1612465471
276,Richards Bay,-28.783,32.0377,76.73,90,100,7.11,ZA,1612465472
277,Degtyarsk,56.704,60.0879,23.0,100,40,4.47,RU,1612465472
278,San Juan,-31.5375,-68.5364,88.77,20,0,4.83,AR,1612465237
279,Dingle,10.9995,122.6711,74.39,92,98,8.19,PH,1612465472
280,Navolato,24.7672,-107.6944,84.99,50,1,4.61,MX,1612465472
281,North Bend,43.4065,-124.2243,46.4,76,1,4.61,US,1612465472
282,Stornoway,58.2093,-6.3865,37.4,81,75,26.46,GB,1612465473
283,Lompoc,34.6391,-120.4579,60.8,41,1,5.75,US,1612465473
284,Bagdarin,54.4333,113.6,-8.57,85,100,2.82,RU,1612465473
285,Mezen',65.8522,44.24,-2.25,91,100,12.35,RU,1612465473
286,Pressbaum,48.176,16.0477,43.0,81,20,1.61,AT,1612465474
287,Pudozh,61.8099,36.5345,9.55,95,100,6.13,RU,1612465474
288,Bonnyville,54.2668,-110.735,-4.0,65,75,3.44,CA,1612465205
289,Ullapool,57.8987,-5.1604,34.0,46,100,18.99,GB,1612465474
290,Wahiawā,21.5028,-158.0236,64.4,94,90,5.75,US,1612465264
291,Tocopilla,-22.092,-70.1979,74.82,44,67,5.95,CL,1612465215
292,Kuching,1.55,110.3333,75.2,100,40,1.81,MY,1612465212
293,Monroe,43.1501,-77.6831,37.4,52,20,8.05,US,1612465289
294,Zhangjiakou Shi Xuanhua Qu,40.6103,115.0447,29.1,71,0,6.93,CN,1612465475
295,Karratha,-20.7377,116.8463,80.74,83,44,10.49,AU,1612465475
296,Borovoy,55.4333,86.0833,8.6,85,100,11.18,RU,1612465475
297,Fort-Shevchenko,44.5086,50.263,43.07,95,88,10.27,KZ,1612465475
298,Coihueco,-36.6167,-71.8333,95.0,18,0,5.75,CL,1612465390
299,Ust-Tsilma,65.441,52.1498,-1.55,91,100,6.91,RU,1612465476
300,Sibi,29.5448,67.8764,61.05,29,0,1.95,PK,1612465476
301,Trudobelikovskiy,45.2686,38.1631,52.0,63,100,16.67,RU,1612465476
302,Binga,-17.6203,27.3414,75.54,82,1,2.71,ZW,1612465476
303,Honiara,-9.4333,159.95,78.04,82,99,4.14,SB,1612465476
304,Torbay,47.6666,-52.7314,46.4,100,90,4.61,CA,1612465476
305,Marovoay,-16.1,46.6333,77.0,78,40,20.71,MG,1612465477
306,Saint-Augustin,51.226,-58.6502,35.04,97,100,3.44,CA,1612465477
307,Nemuro,43.3236,145.575,12.94,88,1,15.52,JP,1612465477
308,Adwa,14.1646,38.8955,57.63,34,0,1.86,ET,1612465477
309,Bokoro,12.3807,17.0568,78.01,18,0,12.01,TD,1612465330
310,Grand Gaube,-20.0064,57.6608,80.01,76,0,5.99,MU,1612465478
311,Bulgan,48.8125,103.5347,16.59,89,100,5.86,MN,1612465478
312,Serenje,-13.2325,30.2352,63.72,98,99,4.34,ZM,1612465478
313,Aklavik,68.2191,-135.0107,-45.4,66,20,2.3,CA,1612465478
314,Necochea,-38.5473,-58.7368,75.99,50,0,13.6,AR,1612465478
315,Okato,-39.2,173.8833,51.01,60,0,15.01,NZ,1612465478
316,Rawson,-43.3002,-65.1023,95.92,14,0,8.95,AR,1612465479
317,Galveston,29.3669,-94.9669,72.0,73,90,13.8,US,1612465359
318,Ixtapa,20.7,-105.2,77.0,61,1,10.36,MX,1612465479
319,Shingū,33.7333,135.9833,36.01,82,0,6.46,JP,1612465479
320,Melito Di Porto Salvo,37.9222,15.7714,55.99,76,90,5.75,IT,1612465480
321,Yüksekova,37.5736,44.2872,37.4,81,75,4.61,TR,1612465480
322,Belyy Yar,53.6039,91.3903,14.0,79,0,2.24,RU,1612465480
323,Ternate,0.8,127.4,79.99,79,100,4.7,ID,1612465480
324,Opunake,-39.4556,173.8583,51.01,87,0,3.0,NZ,1612465480
325,Port Hardy,50.6996,-127.4199,41.0,93,90,9.22,CA,1612465375
326,Ciudad Bolivar,8.1222,-63.5497,91.63,46,90,13.4,VE,1612465480
327,Belaya Gora,68.5333,146.4167,-15.75,85,100,11.07,RU,1612465481
328,Mogadishu,2.0371,45.3438,77.45,82,0,21.07,SO,1612465481
329,Tilichiki,60.4667,166.1,-5.19,93,4,12.17,RU,1612465481
330,Antalaha,-14.9003,50.2788,76.75,89,69,4.85,MG,1612465481
331,Harper,4.375,-7.7169,79.63,87,15,5.68,LR,1612465481
332,Coquimbo,-29.9533,-71.3436,66.2,68,0,13.8,CL,1612465481
333,Santa María Del Oro,25.9333,-105.3667,75.9,16,55,5.39,MX,1612465482
334,Makīnsk,52.6292,70.4169,19.02,98,95,6.93,KZ,1612465482
335,Garut,-7.2024,107.8878,68.41,86,100,4.34,ID,1612465482
336,Panjāb,34.388,67.0233,5.68,68,0,3.67,AF,1612465482
337,Tabas,33.5959,56.9244,50.0,22,0,6.91,IR,1612465482
338,Laas,46.6166,10.7002,41.0,80,0,4.61,IT,1612465482
339,Cockburn Town,21.4612,-71.1419,75.2,64,40,9.22,TC,1612465483
340,Kuah,6.3265,99.8432,80.6,65,20,9.22,MY,1612465483
341,Bereda,43.2686,-7.5406,50.0,89,100,1.99,ES,1612465483
342,Pontianak,-0.0333,109.3333,75.2,100,75,3.44,ID,1612465483
343,Muros,42.7762,-9.0603,54.0,84,100,2.93,ES,1612465483
344,Dārāb,28.7519,54.5444,53.33,36,0,1.88,IR,1612465483
345,Rapu-Rapu,13.1866,124.1256,79.86,82,49,21.61,PH,1612465483
346,Two Hills,53.7169,-111.7518,1.4,100,100,6.91,CA,1612465484
347,Vila Franca Do Campo,37.7167,-25.4333,55.4,67,40,25.32,PT,1612465484
348,Deputatsky,69.3,139.9,-16.69,90,100,4.83,RU,1612465484
349,Loknya,56.83,30.1467,13.19,95,100,7.65,RU,1612465484
350,Concarneau,47.875,-3.9225,48.2,93,75,4.61,FR,1612465484
351,Aldergrove,49.058,-122.4709,43.0,93,90,10.36,CA,1612465484
352,Gizo Government Station,-8.103,156.8419,81.43,74,46,8.77,SB,1612465485
353,Talnakh,69.4865,88.3972,-21.44,86,99,2.37,RU,1612465485
354,Redcliffe,-27.2307,153.0973,70.0,88,0,8.05,AU,1612465485
355,Cologne,50.9333,6.95,48.0,71,20,6.91,DE,1612465485
356,Kidodi,-7.6036,37.0044,75.79,77,89,1.88,TZ,1612465485
